Freq,Posting_ptr,Terms_ptr
5,"[31, 0, 27, 32, 36]",
1,[15],
6,"[28, 24, 23, 10, 17, 23]",
2,"[36, 3]",
1,[2],
3,"[17, 9, 23]",
1,[21],
1,[20],
1,[26],
1,[24],
1,[5],
2,"[12, 12]",
1,[3],
1,[2],
1,[36],
3,"[7, 0, 7]",
1,[37],
2,"[22, 1]",
1,[3],
2,"[15, 13]",
1,[26],
1,[28],
1,[28],
1,[16],
1,[3],
1,[25],
1,[27],
1,[2],
1,[36],
1,[36],
1,[30],
2,"[36, 17]",
3,"[23, 2, 35]",
1,[35],
1,[16],
2,"[12, 11]",
1,[32],
1,[0],
3,"[13, 13, 13]",
5,"[36, 20, 25, 9, 24]",
2,"[19, 19]",
1,[1],
1,[17],
1,[29],
1,[31],
2,"[20, 2]",
2,"[6, 6]",
1,[1],
2,"[5, 5]",
1,[34],
1,[35],
1,[10],
1,[9],
4,"[25, 25, 27, 20]",
3,"[10, 18, 26]",
1,[34],
1,[16],
2,"[14, 14]",
1,[34],
1,[4],
1,[28],
2,"[20, 36]",
1,[3],
1,[1],
1,[17],
8,"[5, 17, 28, 17, 34, 17, 27, 18]",
1,[16],
2,"[16, 35]",
1,[27],
2,"[33, 35]",
5,"[28, 24, 27, 18, 27]",
2,"[36, 18]",
4,"[23, 27, 4, 10]",
5,"[27, 35, 32, 24, 33]",
1,[36],
1,[36],
1,[13],
1,[15],
2,"[30, 30]",
1,[13],
1,[9],
1,[27],
2,"[8, 8]",
2,"[30, 2]",
7,"[25, 28, 28, 28, 17, 36, 28]",
2,"[17, 16]",
1,[35],
1,[16],
1,[11],
1,[13],
1,[20],
1,[30],
1,[17],
10,"[22, 21, 27, 34, 37, 33, 23, 36, 25, 32]",
4,"[8, 13, 25, 2]",
1,[17],
1,[16],
4,"[17, 3, 9, 15]",
1,[6],
2,"[30, 24]",
2,"[22, 22]",
1,[37],
1,[11],
4,"[7, 14, 26, 20]",
2,"[30, 9]",
1,[0],
1,[28],
1,[2],
5,"[30, 27, 21, 33, 24]",
1,[29],
1,[16],
1,[16],
2,"[20, 30]",
1,[20],
3,"[30, 33, 16]",
1,[32],
3,"[32, 32, 24]",
5,"[1, 30, 20, 24, 28]",
1,[27],
1,[3],
3,"[26, 35, 27]",
1,[18],
1,[30],
8,"[7, 5, 13, 7, 32, 24, 32, 21]",
2,"[5, 13]",
1,[13],
1,[27],
1,[32],
6,"[27, 17, 29, 17, 37, 37]",
1,[22],
2,"[26, 26]",
1,[27],
3,"[33, 12, 32]",
1,[27],
1,[15],
1,[30],
1,[7],
1,[14],
11,"[2, 31, 37, 33, 21, 34, 31, 6, 20, 20, 13]",
1,[6],
4,"[15, 32, 34, 35]",
2,"[1, 17]",
1,[31],
1,[17],
1,[5],
3,"[33, 0, 34]",
1,[5],
1,[4],
1,[10],
1,[14],
1,[10],
28,"[26, 5, 30, 6, 14, 20, 11, 2, 3, 34, 2, 8, 36, 36, 3, 3, 34, 18, 25, 15, 18, 0, 16, 12, 6, 1, 17, 10]",
1,[8],
2,"[29, 29]",
2,"[9, 9]",
1,[31],
1,[29],
1,[4],
2,"[32, 27]",
1,[33],
1,[17],
1,[26],
1,[14],
2,"[14, 14]",
3,"[27, 31, 28]",
10,"[28, 24, 27, 5, 28, 34, 36, 23, 16, 10]",
1,[19],
3,"[15, 14, 16]",
7,"[9, 28, 10, 5, 34, 10, 10]",
1,[10],
1,[3],
1,[2],
1,[18],
1,[26],
1,[14],
1,[10],
5,"[16, 3, 17, 17, 36]",
1,[12],
5,"[34, 34, 34, 34, 34]",
3,"[35, 24, 34]",
1,[16],
1,[27],
1,[15],
1,[37],
7,"[27, 3, 11, 13, 1, 11, 6]",
1,[35],
1,[20],
4,"[17, 17, 17, 17]",
2,"[10, 10]",
1,[10],
3,"[11, 13, 10]",
5,"[6, 5, 0, 4, 7]",
4,"[29, 4, 2, 15]",
1,[20],
1,[25],
1,[24],
1,[16],
2,"[35, 18]",
1,[18],
1,[3],
5,"[11, 9, 7, 4, 11]",
1,[29],
1,[20],
1,[18],
1,[9],
4,"[7, 7, 0, 7]",
2,"[35, 31]",
1,[12],
1,[32],
1,[1],
4,"[6, 31, 11, 6]",
3,"[21, 30, 32]",
1,[27],
1,[21],
1,[21],
2,"[16, 30]",
3,"[11, 11, 16]",
3,"[3, 36, 16]",
1,[11],
2,"[1, 1]",
3,"[30, 22, 20]",
1,[27],
3,"[15, 17, 14]",
1,[19],
7,"[18, 15, 15, 15, 6, 13, 15]",
1,[24],
1,[27],
1,[15],
1,[16],
1,[32],
4,"[16, 16, 16, 16]",
1,[5],
1,[6],
1,[19],
1,[20],
2,"[15, 26]",
1,[27],
1,[16],
1,[13],
12,"[2, 33, 30, 4, 22, 33, 4, 34, 28, 36, 27, 22]",
2,"[16, 3]",
1,[26],
1,[12],
4,"[26, 10, 26, 20]",
1,[27],
1,[18],
2,"[15, 26]",
1,[11],
2,"[6, 1]",
1,[25],
2,"[25, 27]",
1,[37],
2,"[26, 10]",
9,"[32, 16, 21, 36, 22, 23, 21, 1, 32]",
1,[17],
3,"[17, 13, 28]",
9,"[19, 13, 13, 3, 21, 16, 21, 31, 37]",
1,[12],
15,"[34, 20, 33, 36, 35, 27, 30, 29, 34, 26, 31, 32, 22, 24, 2]",
1,[7],
3,"[30, 2, 30]",
2,"[27, 13]",
1,[8],
1,[2],
1,[29],
1,[17],
6,"[36, 23, 7, 23, 36, 36]",
5,"[17, 15, 17, 2, 14]",
1,[14],
5,"[17, 28, 28, 28, 28]",
1,[36],
3,"[22, 22, 34]",
1,[21],
4,"[17, 17, 17, 17]",
2,"[27, 27]",
1,[27],
2,"[33, 33]",
2,"[1, 37]",
1,[9],
2,"[10, 10]",
1,[31],
1,[14],
1,[3],
1,[13],
2,"[18, 18]",
2,"[31, 31]",
1,[16],
3,"[37, 27, 16]",
1,[27],
1,[20],
1,[3],
2,"[2, 3]",
2,"[10, 10]",
1,[2],
1,[36],
1,[27],
1,[2],
1,[23],
2,"[27, 8]",
1,[4],
3,"[34, 7, 32]",
1,[33],
1,[5],
2,"[12, 22]",
4,"[34, 34, 34, 34]",
1,[34],
14,"[33, 27, 17, 35, 35, 29, 3, 21, 31, 23, 20, 17, 31, 1]",
1,[27],
29,"[4, 6, 24, 27, 27, 21, 35, 1, 31, 33, 35, 17, 16, 29, 17, 23, 13, 36, 33, 2, 34, 34, 25, 14, 21, 20, 13, 3, 15]",
1,[24],
4,"[17, 20, 27, 27]",
1,[27],
3,"[36, 36, 36]",
1,[27],
2,"[33, 33]",
1,[9],
1,[33],
2,"[22, 1]",
11,"[23, 23, 10, 5, 24, 9, 34, 9, 28, 17, 14]",
1,[25],
1,[20],
1,[6],
6,"[28, 24, 24, 24, 28, 28]",
2,"[6, 3]",
4,"[16, 27, 33, 18]",
1,[24],
1,[17],
1,[20],
34,"[13, 18, 7, 6, 26, 34, 13, 31, 26, 32, 16, 3, 34, 1, 1, 30, 16, 9, 5, 21, 13, 16, 36, 24, 3, 15, 31, 4, 16, 30, 17, 2, 29, 18]",
1,[8],
5,"[2, 6, 4, 3, 5]",
2,"[30, 26]",
2,"[5, 5]",
1,[6],
4,"[11, 13, 7, 10]",
1,[2],
5,"[16, 14, 28, 37, 17]",
1,[29],
90,"[11, 37, 26, 27, 25, 23, 2, 26, 33, 15, 26, 26, 25, 30, 31, 32, 27, 1, 27, 25, 26, 33, 33, 24, 30, 19, 19, 12, 6, 14, 18, 28, 35, 28, 35, 31, 35, 28, 16, 35, 14, 18, 16, 29, 9, 34, 17, 9, 31, 23, 17, 16, 29, 34, 12, 30, 29, 29, 35, 35, 19, 27, 36, 23, 14, 30, 27, 3, 22, 27, 32, 27, 22, 28, 36, 21, 34, 21, 16, 20, 21, 29, 13, 21, 20, 36, 32, 27, 16, 5]",
1,[22],
1,[36],
3,"[0, 3, 6]",
1,[22],
1,[10],
1,[17],
